kind	source_file	id	json_path	sl	hr	sr	notes
content	data/discovery.json	discovery:sklopi.1.vprasanja.0	sklopi.1.vprasanja.0	Katere vrste embalaže uporabljate — papir/karton, plastika, steklo, kovina, les, kompoziti?	Koje vrste pakiranja koristite — papir/karton, plastika, staklo, metal, drvo, kompoziti?	Koje vrste ambalaže koristite — papir/karton, plastiku, staklo, metal, drvo, kompozite?	
content	data/discovery.json	discovery:sklopi.1.vprasanja.1	sklopi.1.vprasanja.1	Ali poznate okvirne letne količine po posamezni vrsti?	Znate li okvirne godišnje količine za svaku vrstu?	Da li znate približne godišnje količine za svaku vrstu?	
content	data/discovery.json	discovery:sklopi.1.vprasanja.2	sklopi.1.vprasanja.2	Kdo trenutno pripravlja letno poročilo o embalaži?	Tko trenutno izrađuje godišnje izvješće o ambalaži?	Ko trenutno priprema godišnji izveštaj o ambalaži?	
content	data/discovery.json	discovery:sklopi.1.vprasanja.3	sklopi.1.vprasanja.3	Imate kakšno specifično embalažo, ki vas skrbi (kompoziti, problematični materiali)?	Imate li neko specifično pakiranje koje vas brine (kompoziti, problematični materijali)?	Da li imate neku specifičnu ambalažu koja vas brine (kompoziti, problematični materijali)?	
content	data/discovery.json	discovery:sklopi.1.vprasanja.4	sklopi.1.vprasanja.4	Ali so vas kupci spraševali po Made for Recycling ali podobnih certifikatih?	Jesu li vas kupci pitali o certifikatima Made for Recycling ili sličnim?	Da li su vas kupci pitali za Napravljeno za reciklažu ili slične sertifikate?	
content	data/discovery.json	discovery:sklopi.2.namen	sklopi.2.namen	Preveriti, ali ima stranka obveznosti, ki jih morda ne pozna.	Provjeriti ima li klijent obveze kojih možda nije svjestan.	Da proveri da li klijent ima obaveze kojih možda nije svestan.	
content	data/discovery.json	discovery:sklopi.2.naslov	sklopi.2.naslov	Druge EPR sheme	Ostale EPR sheme	Druge EPR šeme	
content	data/discovery.json	discovery:sklopi.2.vprasanja.0	sklopi.2.vprasanja.0	Ali uvažate ali dajete na trg elektronske naprave? (EE-oprema)	Uvozite li ili prodajete elektroničke uređaje? (EE oprema)	Da li uvozite ili prodajete elektronske uređaje? (EE oprema)	
content	data/discovery.json	discovery:sklopi.2.vprasanja.1	sklopi.2.vprasanja.1	Ali so v vaših izdelkih baterije ali akumulatorji?	Postoje li baterije ili akumulatori u vašim proizvodima?	Da li u vašim proizvodima postoje baterije ili akumulatori?	
content	data/discovery.json	discovery:sklopi.2.vprasanja.2	sklopi.2.vprasanja.2	Ali se srečujete z odpadnimi olji, gumami, vozili?	Susrećete li se s otpadnim uljima, gumama, vozilima?	Da li se susrećete sa otpadnim uljima, gumama, vozilima?	
content	data/discovery.json	discovery:sklopi.2.vprasanja.3	sklopi.2.vprasanja.3	Kakšne odpadke iz proizvodnje danes oddajate?	Kakav proizvodni otpad danas šaljete?	Kakav proizvodni otpad danas šaljete?	
content	data/discovery.json	discovery:sklopi.3.namen	sklopi.3.namen	Razumeti operativno sliko.	Razumjeti operativnu sliku.	Shvatite operativnu sliku.	
content	data/discovery.json	discovery:sklopi.3.naslov	sklopi.3.naslov	Ravnanje z odpadki na lokaciji	Gospodarenje otpadom na licu mjesta	Upravljanje otpadom na licu mesta	
content	data/discovery.json	discovery:sklopi.3.vprasanja.0	sklopi.3.vprasanja.0	Kateri so glavni tokovi odpadkov pri vas? (papir, folija, mešani, bio, nevarni)	Koji su glavni tokovi otpada u vašem području? (papir, folija, miješano, bio, opasno)	Koji su glavni tokovi otpada u vašem području? (papir, folija, mešano, bio, opasno)	
content	data/discovery.json	discovery:sklopi.3.vprasanja.1	sklopi.3.vprasanja.1	Kdo trenutno opravlja odvoze?	Tko trenutno vrši preuzimanje?	Ko trenutno vrši preuzimanje?	
content	data/discovery.json	discovery:sklopi.3.vprasanja.2	sklopi.3.vprasanja.2	Imate več izvajalcev ali enega?	Imate li više izvođača ili samo jednog?	Da li imate više izvođača ili samo jednog?	
content	data/discovery.json	discovery:sklopi.3.vprasanja.3	sklopi.3.vprasanja.3	Kje vas zatakne — prostor, pogostost odvoza, dokumentacija, cena?	Gdje zapnete — prostor, učestalost preuzimanja, dokumentacija, cijena?	Gde se zaglavite — prostor, učestalost preuzimanja, dokumentacija, cena?	
content	data/discovery.json	discovery:sklopi.3.vprasanja.4	sklopi.3.vprasanja.4	Kakšne so vaše izkušnje z dosedanjimi izvajalci?	Kakva su vaša iskustva s prethodnim izvođačima?	Kakvo je vaše iskustvo sa prethodnim izvođačima?	
content	data/discovery.json	discovery:sklopi.3.vprasanja.5	sklopi.3.vprasanja.5	Ali bi želeli kakšen del oddati v upravljanje (npr. na ključ)?	Želite li dati dio u zakup na upravljanje (npr. ključ u ruke)?	Da li želite da iznajmite deo za upravljanje (npr. po principu ključ u ruke)?	
content	data/discovery.json	discovery:sklopi.4.namen	sklopi.4.namen	Preveriti tveganje skladnosti.	Provjerite rizik usklađenosti.	Proverite rizik usklađenosti.	
content	data/discovery.json	discovery:sklopi.4.naslov	sklopi.4.naslov	Zakonodaja in poročanje	Zakonodavstvo i izvješćivanje	Zakonodavstvo i izveštavanje	
content	data/discovery.json	discovery:sklopi.4.vprasanja.0	sklopi.4.vprasanja.0	Kdo pri vas spremlja spremembe okoljske zakonodaje?	Tko prati promjene ekološkog zakonodavstva u vašoj zemlji?	Ko prati promene ekološkog zakonodavstva u vašoj zemlji?	
content	data/discovery.json	discovery:sklopi.4.vprasanja.1	sklopi.4.vprasanja.1	Kdaj ste imeli zadnjo inšpekcijo in kakšne so bile ugotovitve?	Kada ste zadnji put bili na pregledu i koji su bili nalazi?	Kada je bila vaša poslednja inspekcija i kakvi su nalazi?	
content	data/discovery.json	discovery:sklopi.4.vprasanja.2	sklopi.4.vprasanja.2	Imate dokumentacijo zbrano na enem mestu?	Imate li dokumentaciju prikupljenu na jednom mjestu?	Imate li dokumentaciju prikupljenu na jednom mestu?	
content	data/discovery.json	discovery:sklopi.4.vprasanja.3	sklopi.4.vprasanja.3	Ali pravočasno oddajate vsa letna poročila (ARSO, evidence, EPR)?	Podnosite li sva godišnja izvješća (ARSO, evidencije, EPR) na vrijeme?	Da li sve godišnje izveštaje (ARSO, evidenciju, EPR) dostavljate na vreme?	
content	data/discovery.json	discovery:sklopi.4.vprasanja.4	sklopi.4.vprasanja.4	Kakšne tveganje vidite v naslednjih 12 mesecih?	Kakav rizik vidite u sljedećih 12 mjeseci?	Kakav rizik vidite u narednih 12 meseci?	
content	data/discovery.json	discovery:sklopi.5.namen	sklopi.5.namen	Razumeti zunanje pritiske.	Razumjeti vanjske pritiske.	Razumeti spoljne pritiske.	
content	data/discovery.json	discovery:sklopi.5.naslov	sklopi.5.naslov	ESG in trajnost	ESG i održivost	ESG i održivost	
content	data/discovery.json	discovery:sklopi.5.vprasanja.0	sklopi.5.vprasanja.0	Ali vam kupci ali banke že zahtevajo ESG podatke ali poročila?	Traže li klijenti ili banke već od vas ESG podatke ili izvješća?	Da li klijenti ili banke već traže od vas ESG ​​podatke ili izveštaje?	
content	data/discovery.json	discovery:sklopi.5.vprasanja.1	sklopi.5.vprasanja.1	Imate trajnostno strategijo ali cilje?	Imate li strategiju održivosti ili ciljeve?	Da li imate strategiju ili ciljeve održivosti?	
content	data/discovery.json	discovery:sklopi.5.vprasanja.2	sklopi.5.vprasanja.2	Kdo pri vas pokriva ESG / trajnost?	Tko pokriva ESG / održivost kod vas?	Ko pokriva ESG / održivost kod vas?	
content	data/discovery.json	discovery:sklopi.5.vprasanja.3	sklopi.5.vprasanja.3	Katere certifikate, standardi ali sheme uporabljate? (ISO 14001, EMAS, BCorp, Made for Recycling)	Koje certifikate, standarde ili sheme koristite? (ISO 14001, EMAS, BCorp, Napravljeno za recikliranje)	Koje sertifikate, standarde ili šeme koristite? (ISO 14001, EMAS, BCorp, napravljeno za reciklažu)	
content	data/discovery.json	discovery:sklopi.6.namen	sklopi.6.namen	Postaviti realno izhodišče za ponudbo.	Postavite realnu polaznu točku za ponudu.	Postavite realnu polaznu tačku za ponudu.	
content	data/discovery.json	discovery:sklopi.6.naslov	sklopi.6.naslov	Stroški in cena	Trošak i cijena	Cena i cena	
content	data/discovery.json	discovery:sklopi.6.vprasanja.0	sklopi.6.vprasanja.0	Imate predstavo o letnem strošku trenutnega ravnanja z odpadki?	Imate li predstavu o godišnjim troškovima trenutnog gospodarenja otpadom?	Da li imate predstavu o godišnjim troškovima trenutnog upravljanja otpadom?	
content	data/discovery.json	discovery:sklopi.6.vprasanja.1	sklopi.6.vprasanja.1	Koliko plačujete za EPR shemo?	Koliko plaćate za EPR shemu?	Koliko plaćate za EPR šemu?	
content	data/discovery.json	discovery:sklopi.6.vprasanja.2	sklopi.6.vprasanja.2	Kje vas trenutno boli najbolj — pavšali, transport, kazni, presežki?	Gdje vas trenutno najviše boli — paušali, prijevozi, kazne, otkazi?	Gde vas trenutno najviše boli — paušali, prevoz, kazne, viškovi?	
content	data/discovery.json	discovery:sklopi.6.vprasanja.3	sklopi.6.vprasanja.3	Kakšen je vaš pričakovan proračun za tovrstne storitve?	Koliki je vaš očekivani proračun za ovu vrstu usluge?	Koliki je vaš očekivani budžet za ovu vrstu usluge?	
content	data/discovery.json	discovery:sklopi.6.vprasanja.4	sklopi.6.vprasanja.4	Ali iščete prihranek, predvidljivost ali samo skladnost?	Tražite li uštede, predvidljivost ili samo usklađenost?	Da li tražite uštedu, predvidljivost ili samo usklađenost?	
content	data/discovery.json	discovery:sklopi.7.namen	sklopi.7.namen	Razumeti, kdo, kako in kdaj odloča.	Shvatite tko donosi odluke, kako i kada.	Razumeti ko donosi odluke, kako i kada.	
content	data/discovery.json	discovery:sklopi.7.naslov	sklopi.7.naslov	Odločitveni proces	Proces odlučivanja	Proces odlučivanja	
content	data/discovery.json	discovery:sklopi.7.vprasanja.0	sklopi.7.vprasanja.0	Kdo pri vas mora dati zeleno luč za tako odločitev?	Tko kod vas mora dati zeleno svjetlo za takvu odluku?	Ko u vašoj zemlji mora da da zeleno svetlo za takvu odluku?	
content	data/discovery.json	discovery:sklopi.7.vprasanja.1	sklopi.7.vprasanja.1	Kako poteka pri vas izbor dobaviteljev — javno povabilo, primerjava, neformalno?	Kako se kod vas vrši odabir dobavljača — javni poziv, usporedba, neformalno?	Kako se kod vas vrši izbor dobavljača — javni poziv, poređenje, neformalno?	
content	data/discovery.json	discovery:sklopi.7.vprasanja.2	sklopi.7.vprasanja.2	Kakšen je vaš pričakovan rok za odločitev?	Koji je vaš očekivani rok za odluku?	Koji je vaš očekivani rok za odluku?	
content	data/discovery.json	discovery:sklopi.7.vprasanja.3	sklopi.7.vprasanja.3	Imate trenutno pogodbo z drugim izvajalcem in do kdaj velja?	Imate li trenutno ugovor s nekim drugim izvođačem i koliko on vrijedi?	Da li trenutno imate ugovor sa drugim izvođačem i koliko dugo važi?	
content	data/discovery.json	discovery:sklopi.7.vprasanja.4	sklopi.7.vprasanja.4	Kaj bi za vas pomenilo, da je projekt uspešen po 12 mesecih?	Što bi za vas značilo da je projekt uspješan nakon 12 mjeseci?	Šta bi za vas značilo da je projekat uspešan posle 12 meseci?	
content	data/epr-cene-si.json	epr-cene-si:_enota	_enota	EUR / kg embalaže, dane na trg	EUR/kg pakiranja stavljenog na tržište	EUR/kg ambalaže stavljene na tržište	
content	data/epr-cene-si.json	epr-cene-si:_opis	_opis	Okvirne stopnje prispevka za skupno shemo ravnanja z odpadno embalažo v Sloveniji, po vrsti materiala. POMEMBNO: To so PLACEHOLDER vrednosti za demo kalkulacije. Pred uporabo v ponudbi za stranko nujno zamenjaj z aktualnimi Interzero cenami.	Indikativne stope doprinosa za zajednički sustav gospodarenja otpadnom ambalažom u Sloveniji, prema vrsti materijala. VAŽNO: Ovo su PLACEHOLDER vrijednosti za demo izračune. Prije korištenja u ponudi za kupca, svakako ga zamijenite aktualnim Interzero cijenama.	Indikativne stope doprinosa za zajedničku šemu upravljanja otpadnom ambalažom u Sloveniji, prema vrsti materijala. VAŽNO: Ovo su PLACEHOLDER vrednosti za demo proračune. Pre upotrebe u ponudi za kupca, obavezno je zamenite trenutnim Interzero cenama.	
content	data/epr-cene-si.json	epr-cene-si:_opozorilo	_opozorilo	Te številke morajo biti zamenjane s pravimi Interzero cenovniki.	Ove brojeve potrebno je zamijeniti stvarnim Interzero cjenicima.	Ovi brojevi moraju biti zamenjeni pravim Interzero cenovnicima.	
content	data/epr-cene-si.json	epr-cene-si:_zadnja_revizija	_zadnja_revizija	2026-05 (placeholder)			
content	data/epr-cene-si.json	epr-cene-si:materiali.0.id	materiali.0.id	papir-karton			
content	data/epr-cene-si.json	epr-cene-si:materiali.0.naziv	materiali.0.naziv	Papir in karton	Papir i karton	Papir i karton	
content	data/epr-cene-si.json	epr-cene-si:materiali.0.opomba	materiali.0.opomba	Najnižja stopnja, ker se dobro reciklira.	Najniža stopa jer se dobro reciklira.	Najniža stopa jer se dobro reciklira.	
content	data/epr-cene-si.json	epr-cene-si:materiali.1.id	materiali.1.id	plastika			
content	data/epr-cene-si.json	epr-cene-si:materiali.1.naziv	materiali.1.naziv	Plastika (skupna)	Plastika (uobičajena)	Plastika (uobičajena)	
content	data/epr-cene-si.json	epr-cene-si:materiali.1.opomba	materiali.1.opomba	Stopnja se razlikuje glede na vrsto plastike (PET, HDPE, PP, PS, druga).	Stopa varira ovisno o vrsti plastike (PET, HDPE, PP, PS, ostalo).	Stopa varira u zavisnosti od vrste plastike (PET, HDPE, PP, PS, ostalo).	
content	data/epr-cene-si.json	epr-cene-si:materiali.2.id	materiali.2.id	plastika-pet			
content	data/epr-cene-si.json	epr-cene-si:materiali.2.naziv	materiali.2.naziv	Plastika — PET	Plastika — PET	Plastika — PET	
content	data/epr-cene-si.json	epr-cene-si:materiali.3.id	materiali.3.id	plastika-pp			
content	data/epr-cene-si.json	epr-cene-si:materiali.3.naziv	materiali.3.naziv	Plastika — PP/HDPE	Plastika — PP/HDPE	Plastika — PP/HDPE	
content	data/epr-cene-si.json	epr-cene-si:materiali.4.id	materiali.4.id	plastika-druga			
content	data/epr-cene-si.json	epr-cene-si:materiali.4.naziv	materiali.4.naziv	Plastika — druga	Plastika — drugo	Plastika - drugo	
content	data/epr-cene-si.json	epr-cene-si:materiali.4.opomba	materiali.4.opomba	Slabše recikljiva plastika ima višjo stopnjo.	Plastika koja se manje može reciklirati ima višu stopu.	Plastika koja se manje može reciklirati ima veću stopu.	
content	data/epr-cene-si.json	epr-cene-si:materiali.5.id	materiali.5.id	steklo			
content	data/epr-cene-si.json	epr-cene-si:materiali.5.naziv	materiali.5.naziv	Steklo			
content	data/epr-cene-si.json	epr-cene-si:materiali.6.id	materiali.6.id	kovina-fe			
content	data/epr-cene-si.json	epr-cene-si:materiali.6.naziv	materiali.6.naziv	Kovina — železo/jeklo	Metal — željezo/čelik	Metal — gvožđe/čelik	
content	data/epr-cene-si.json	epr-cene-si:materiali.7.id	materiali.7.id	kovina-al			
content	data/epr-cene-si.json	epr-cene-si:materiali.7.naziv	materiali.7.naziv	Kovina — aluminij	Metal — aluminij	Metal - aluminijum	
content	data/epr-cene-si.json	epr-cene-si:materiali.8.id	materiali.8.id	les			
content	data/epr-cene-si.json	epr-cene-si:materiali.8.naziv	materiali.8.naziv	Les			
content	data/epr-cene-si.json	epr-cene-si:materiali.9.id	materiali.9.id	kompozit			
content	data/epr-cene-si.json	epr-cene-si:materiali.9.naziv	materiali.9.naziv	Kompozitna embalaža	Kompozitno pakiranje	Kompozitno pakovanje	
content	data/epr-cene-si.json	epr-cene-si:materiali.9.opomba	materiali.9.opomba	Težje recikljiva, višja stopnja.	Teže se reciklira, veća stopa.	Teže za recikliranje, veća stopa.	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.0.id	paketi_storitev.0.id	osnovni			
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.0.naziv	paketi_storitev.0.naziv	Osnovni paket EPR	Osnovni EPR paket	Osnovni EPR paket	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.0.okvirna_cena_letno	paketi_storitev.0.okvirna_cena_letno	od 1.200 EUR	od 1.200 EUR	od 1.200 EUR	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.0.primeren_za	paketi_storitev.0.primeren_za	Manjši proizvajalci/uvozniki, do okvirno 50 ton embalaže letno.	Manji proizvođači/uvoznici do cca 50 tona ambalaže godišnje.	Manji proizvođači/uvoznici, do cca 50 tona ambalaže godišnje.	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.0.vsebina.0	paketi_storitev.0.vsebina.0	Vključitev v skupno shemo ravnanja z odpadno embalažo.	Uključivanje u zajednički sustav gospodarenja otpadnom ambalažom.	Uključivanje u zajedničku šemu upravljanja otpadnom ambalažom.	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.0.vsebina.1	paketi_storitev.0.vsebina.1	Letno poročanje količin v ARSO.	Godišnja prijava količina u ARSO.	Godišnje izveštavanje o količinama u ARSO.	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.0.vsebina.2	paketi_storitev.0.vsebina.2	Obvestila o spremembah zakonodaje (kvartalno).	Obavijesti o promjenama zakonodavstva (tromjesečno).	Obaveštenja o izmenama zakonodavstva (kvartalno).	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.0.vsebina.3	paketi_storitev.0.vsebina.3	Telefonska in email podpora med delovnim časom.	Telefonska i e-mail podrška tijekom radnog vremena.	Podrška telefonom i imejlom tokom radnog vremena.	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.1.id	paketi_storitev.1.id	razsirjeni			
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.1.naziv	paketi_storitev.1.naziv	Razširjeni paket EPR + odpadki	Prošireni paket EPR + otpad	Prošireni paket EPR + otpad	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.1.okvirna_cena_letno	paketi_storitev.1.okvirna_cena_letno	od 6.000 EUR	od 6000 eura	od 6.000 evra	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.1.primeren_za	paketi_storitev.1.primeren_za	Srednje stranke z 1-3 lokacijami in mešanimi odpadki.	Srednji kupci s 1-3 lokacije i miješani otpad.	Srednji kupci sa 1-3 lokacije i mešanim otpadom.	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.1.vsebina.0	paketi_storitev.1.vsebina.0	Vse iz osnovnega paketa.	Sve od osnovnog paketa.	Sve iz osnovnog paketa.	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.1.vsebina.1	paketi_storitev.1.vsebina.1	Operativno ravnanje z odpadki na lokaciji (odvozi, ločevanje, dokumentacija).	Operativno gospodarenje otpadom na lokaciji (odvoz, odvajanje, dokumentiranje).	Operativno upravljanje otpadom na lokaciji (uklanjanje, separacija, dokumentacija).	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.1.vsebina.2	paketi_storitev.1.vsebina.2	Kvartalni pregled stroškov in priložnosti.	Tromjesečni pregled troškova i mogućnosti.	Tromesečni pregled troškova i mogućnosti.	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.1.vsebina.3	paketi_storitev.1.vsebina.3	Podpora pri inšpekcijah.	Inspekcijska podrška.	Inspekcijska podrška.	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.2.id	paketi_storitev.2.id	regionalni			
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.2.naziv	paketi_storitev.2.naziv	Regionalni paket (SI + HR + RS)	Regionalni paket (SI + HR + RS)	Regionalni paket (SI + HR + RS)	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.2.okvirna_cena_letno	paketi_storitev.2.okvirna_cena_letno	od 15.000 EUR	od 15.000 eura	od 15.000 evra	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.2.primeren_za	paketi_storitev.2.primeren_za	Podjetja, ki prodajajo v več državah Adria regije.	Tvrtke koje prodaju u nekoliko zemalja Adria regije.	Kompanije koje prodaju u nekoliko zemalja Adria regiona.	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.2.vsebina.0	paketi_storitev.2.vsebina.0	Vse iz razširjenega paketa za vse 3 države.	Sve iz proširenog paketa za sve 3 zemlje.	Sve iz proširenog paketa za sve 3 zemlje.	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.2.vsebina.1	paketi_storitev.2.vsebina.1	En kontakt, ena pogodba, koordinacija obveznosti v vseh državah.	Jedan kontakt, jedan ugovor, koordinacija obaveza u svim zemljama.	Jedan kontakt, jedan ugovor, koordinacija obaveza u svim zemljama.	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.2.vsebina.2	paketi_storitev.2.vsebina.2	Polletni pregled regionalnih sprememb zakonodaje.	Polugodišnji pregled regionalnih zakonskih promjena.	Polugodišnji pregled izmena regionalnog zakonodavstva.	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.3.id	paketi_storitev.3.id	svetovalni			
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.3.naziv	paketi_storitev.3.naziv	Svetovalni paket (ESG / strategija)	Konzultantski paket (ESG / strategija)	Konsultantski paket (ESG / strategija)	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.3.okvirna_cena_letno	paketi_storitev.3.okvirna_cena_letno	od 8.000 EUR (dodatek k osnovnim paketom)	od 8.000 EUR (uz osnovne pakete)	od 8.000 evra (pored osnovnih paketa)	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.3.primeren_za	paketi_storitev.3.primeren_za	Podjetja z naprednimi trajnostnimi cilji ali zahtevami kupcev.	Tvrtke s naprednim ciljevima održivosti ili zahtjevima kupaca.	Kompanije sa naprednim ciljevima održivosti ili zahtevima kupaca.	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.3.vsebina.0	paketi_storitev.3.vsebina.0	Analiza embalaže in priporočila (recyclability, Made for Recycling).	Analiza ambalaže i preporuke (reciklabilnost, Made for Recycling).	Analiza ambalaže i preporuke (reciklabilnost, Napravljeno za reciklažu).	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.3.vsebina.1	paketi_storitev.3.vsebina.1	Podpora pri ESG vprašalnikih in CSRD pripravi.	Podrška s ESG upitnicima i pripremom CSRD-a.	Podrška sa ESG upitnicima i pripremom CSRD.	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.3.vsebina.2	paketi_storitev.3.vsebina.2	Strategija krožnega gospodarstva za podjetje.	Strategija kružnog gospodarstva za tvrtku.	Strategija cirkularne ekonomije za kompaniju.	
content	data/epr-cene-si.json	epr-cene-si:paketi_storitev.3.vsebina.3	paketi_storitev.3.vsebina.3	Periodični strokovni delavnice z vašo HSE / trajnostno ekipo.	Povremene stručne radionice s vašim HSE / timom za održivost.	Periodične stručne radionice sa vašim HSE / timom za održivost.	
content	data/glosar.json	glosar:_opis	_opis	Slovar EPR in okoljskih pojmov za komercialiste. Namenjen novim komercialistom in razjasnitvi s strankami, ki uporabljajo napačne izraze.	Rječnik EPR i ekoloških pojmova za komercijaliste. Namijenjen za nove reklame i pojašnjenja s klijentima koji koriste netočne pojmove.	Rečnik EPR i ekoloških pojmova za komercijaliste. Namenjen za nove reklame i pojašnjenje sa klijentima koji koriste netačne termine.	
content	data/glosar.json	glosar:kategorije.0.naziv	kategorije.0.naziv	Osnovni pojmi	Osnovni pojmovi	Osnovni pojmovi	
content	data/glosar.json	glosar:kategorije.0.pojmi.0.izraz	kategorije.0.pojmi.0.izraz	EPR (Extended Producer Responsibility)	EPR (proširena odgovornost proizvođača)	EPR (Proširena odgovornost proizvođača)	
content	data/glosar.json	glosar:kategorije.0.pojmi.0.razlaga	kategorije.0.pojmi.0.razlaga	Razširjena odgovornost proizvajalca. Načelo, da je proizvajalec ali uvoznik odgovoren za izdelek tudi po koncu njegove življenjske dobe — predvsem za zbiranje, ponovno uporabo in recikliranje.	Proširena odgovornost proizvođača. Načelo da je proizvođač ili uvoznik odgovoran za proizvod čak i nakon kraja njegovog životnog vijeka — uglavnom za prikupljanje, ponovnu upotrebu i recikliranje.	Proširena odgovornost proizvođača. Princip da je proizvođač ili uvoznik odgovoran za proizvod čak i nakon njegovog isteka životnog veka — uglavnom za sakupljanje, ponovnu upotrebu i reciklažu.	
content	data/glosar.json	glosar:kategorije.0.pojmi.0.v_praksi	kategorije.0.pojmi.0.v_praksi	V Sloveniji EPR obstaja za embalažo, EE-opremo, baterije, gume, izrabljena vozila, odpadna olja, zdravila.	U Sloveniji EPR postoji za ambalažu, EE opremu, baterije, gume, rabljena vozila, otpadna ulja, lijekove.	U Sloveniji EPR postoji za ambalažu, EE opremu, akumulatore, gume, polovna vozila, otpadna ulja, lekove.	
content	data/glosar.json	glosar:kategorije.0.pojmi.1.izraz	kategorije.0.pojmi.1.izraz	ERP (Enterprise Resource Planning)	ERP (Enterprise Resource Planning)	ERP (planiranje resursa preduzeća)	
